0.996,0.557,0.0621,0.249,0.529,0.334458558,0.141
0.0156,0.499,0.935,6.12E-05,0.769,0.767025178,0.0742
0.00786,0.858,0.846,1.21E-05,0.669,0.502223755,0.183
0.0386,0.445,0.927,0.00186,0.449,0.384329814,0.147
0.0257,0.59,0.846,7.94E-06,0.486,0.698201694,0.611
0.073,0.202,0.989,0.603,0.0356,0.439987351,0.0959
0.112,0.859,0.404,0.337,0.664,0.427043165,0.0748
0.764,0.463,0.346,2.33E-06,0.509,0.592718074,0.126
0.183,0.793,0.774,5.84E-06,0.718,0.465029753,0.0414
0.00114,0.308,0.974,0.839,0.393,0.677664297,0.108
0.048,0.559,0.805,0.000334,0.563,0.514268584,0.27
0.599,0.637,0.156,1.53E-05,0.546,0.523927444,0.354
0.0149,0.869,0.53,0,0.495,0.407224433,0.192
0.000307,0.272,0.94,0.848,0.248,0.395315124,0.0779
0.568,0.447,0.215,1.16E-06,0.177,0.295593145,0.0649
0.00143,0.281,0.952,0.00135,0.147,0.538715519,0.12
0.276,0.53,0.905,0.00303,0.373,0.415992148,0.106
0.0787,0.516,0.881,0.747,0.688,0.367430916,0.168
0.277,0.687,0.831,0.016,0.357,0.419790807,0.966
0.214,0.562,0.741,1.75E-05,0.85,0.612487526,0.103
0.00805,0.5,0.976,0.0121,0.326,0.372346586,0.973
0.496,0.765,0.533,6.67E-05,0.756,0.430677558,0.114
0.838,0.135,0.202,0.868,0.234,0.286579031,0.269
0.96,0.142,0.133,0.401,0.0395,0.228675151,0.103
0.0878,0.649,0.749,0.00577,0.688,0.441001696,0.257
0.0742,0.45,0.345,0,0.507,0.380584542,0.354
0.502,0.455,0.77,0,0.471,0.750483559,0.574
0.142,0.47,0.394,0,0.622,0.765000595,0.41
0.503,0.657,0.508,5.31E-06,0.485,0.492971455,0.338
0.0819,0.695,0.863,0,0.863,0.422505308,0.18
0.197,0.711,0.832,0,0.904,0.571634491,0.116
0.379,0.55,0.472,2.21E-06,0.391,0.459378991,0.0925
0.195,0.726,0.458,0.000306,0.504,0.427334738,0.111
0.385,0.797,0.32,0.000159,0.605,0.526728184,0.206
0.667,0.389,0.381,2.45E-06,0.178,0.370621789,0.373
0.0606,0.654,0.884,2.49E-06,0.966,0.512794293,0.318
0.108,0.687,0.535,0.0108,0.8,0.481776705,0.316
0.0174,0.584,0.789,2.14E-06,0.547,0.485439844,0.724
0.407,0.659,0.733,0.0665,0.665,0.495895395,0.156
8.16E-05,0.394,0.967,0,0.398,0.43899354,0.084
0.285,0.611,0.264,0.000273,0.42,0.745686982,0.0741
0.882,0.667,0.384,0.89,0.518,0.423421093,0.0934
0.00045,0.362,0.846,0.0325,0.321,0.364901214,0.106
0.00309,0.654,0.924,0.00231,0.506,0.415404896,0.316
0.104,0.723,0.438,0.000111,0.59,0.384670667,0.0902
0.0269,0.375,0.564,0.000291,0.32,0.753637472,0.343
0.771,0.548,0.347,0.00175,0.498,0.483558994,0.124
0.00549,0.433,0.947,0.0257,0.251,0.409943041,0.383
0.364,0.733,0.399,0,0.946,0.396448562,0.0777
0.000111,0.689,0.707,0.135,0.455,0.499509254,0.377
8.76E-05,0.236,0.856,0.000255,0.376,0.345632774,0.0421
0.58,0.644,0.829,0.00251,0.863,0.616910397,0.112
0.371,0.765,0.5,0.888,0.926,0.443609424,0.0659
0.051,0.515,0.461,3.96E-05,0.864,0.34461843,0.426
0.0583,0.638,0.472,0.355,0.188,0.643710448,0.388
0.451,0.829,0.564,0.0155,0.868,0.392161211,0.111
0.0125,0.519,0.975,0.0224,0.348,0.508194836,0.342
0.986,0.285,0.0312,0,0.0945,0.392341904,0.108
0.000402,0.885,0.368,3.44E-05,0.388,0.407569392,0.306
0.898,0.177,0.125,0.376,0.172,0.358474294,0.291
0.243,0.286,0.82,0.00115,0.186,0.618815886,0.143
0.131,0.509,0.328,0.000119,0.477,0.498392243,0.916
0.0542,0.503,0.959,0.00018,0.618,0.534645821,0.112
0.732,0.442,0.391,0.0814,0.729,0.640154082,0.168
0.101,0.636,0.801,1.06E-06,0.908,0.513328159,0.195
0.339,0.898,0.525,0,0.966,0.461087361,0.0537
0.00161,0.531,0.953,0.491,0.237,0.443954383,0.129
0.0352,0.774,0.606,1.46E-06,0.853,0.489628635,0.13
0.62,0.478,0.39,0,0.377,0.748766976,0.173
0.647,0.139,0.154,0.54,0.161,0.753748352,0.14
0.159,0.562,0.406,9.25E-06,0.489,0.672789694,0.0941
0.227,0.474,0.42,0.00268,0.23,0.485858723,0.119
0.471,0.545,0.388,0,0.848,0.763637185,0.12
0.475,0.485,0.418,0.00304,0.665,0.444225423,0.18
0.511,0.492,0.864,0,0.759,0.417585531,0.374
0.578,0.568,0.348,0,0.436,0.337776737,0.102
0.702,0.438,0.279,4.24E-06,0.274,0.521307396,0.288
0.00181,0.823,0.603,7.83E-05,0.564,0.405516063,0.165
0.434,0.771,0.457,0.000179,0.675,0.651143499,0.135
0.123,0.708,0.456,0.0098,0.962,0.394382913,0.0554
0.000376,0.288,0.911,0.015,0.139,0.365923772,0.361
0.394,0.49,0.328,0.00266,0.593,0.718496799,0.0688
0.0211,0.53,0.964,0.279,0.323,0.323005088,0.102
0.00122,0.284,0.949,0.0387,0.231,0.380079423,0.104
0.799,0.377,0.115,0.000407,0.112,0.29501,0.107
0.763,0.733,0.366,0,0.555,0.415675935,0.541
0.788,0.389,0.372,0.00374,0.614,0.330655792,0.0903
0.959,0.205,0.0815,0.667,0.126,0.283429224,0.308
0.123,0.193,0.557,4.60E-06,0.176,0.653032562,0.127
0.00271,0.51,0.96,0.029,0.749,0.361344848,0.148
0.284,0.841,0.742,0,0.962,0.504240125,0.0861
0.00235,0.359,0.822,0.000548,0.749,0.666917173,0.101
0.0641,0.458,0.981,0.00052,0.545,0.422472455,0.411
0.968,0.434,0.0905,0.0849,0.152,0.466356203,0.111
0.0619,0.552,0.644,7.54E-06,0.445,0.45201986,0.124
0.0125,0.839,0.644,0.00182,0.812,0.477760393,0.0336
0.24,0.435,0.22,7.84E-06,0.285,0.398674371,0.614
0.0528,0.601,0.466,0.833,0.165,0.45171186,0.21
0.587,0.437,0.354,1.06E-05,0.396,0.57068996,0.352
0.992,0.477,0.15,0.916,0.365,0.294903227,0.12
0.846,0.36,0.697,0.0225,0.634,0.619949324,0.173
0.125,0.493,0.947,7.95E-06,0.459,0.5353111,0.513
0.733,0.608,0.383,0.00388,0.369,0.452479806,0.0472
0.402,0.807,0.503,6.10E-06,0.712,0.492872895,0.047
0.000237,0.332,0.981,0.000131,0.101,0.440398017,0.112
0.0958,0.619,0.51,1.31E-05,0.541,0.33332512,0.255
0.84,0.256,0.547,0.916,0.0647,0.313904734,0.0855
2.34E-05,0.347,0.822,0.00044,0.63,0.622327079,0.163
0.784,0.467,0.242,6.87E-05,0.422,0.329000809,0.0822
0.212,0.654,0.605,0.925,0.708,0.460672588,0.0931
0.196,0.58,0.858,0.0122,0.691,0.574086166,0.0676
0.239,0.349,0.445,0,0.425,0.582393935,0.0874
0.421,0.663,0.733,5.58E-06,0.528,0.440693697,0.058
0.0413,0.659,0.768,0,0.867,0.506338627,0.288
6.02E-06,0.183,0.99,0.744,0.038,0.338951242,0.0524
0.0429,0.617,0.568,0.000254,0.949,0.503320233,0.0422
0.0353,0.643,0.441,0.00993,0.851,0.649759555,0.285
0.742,0.543,0.224,0,0.284,0.335205969,0.135
0.627,0.712,0.559,0,0.741,0.412452209,0.11
0.0238,0.437,0.803,0.000208,0.97,0.778174755,0.199
0.432,0.476,0.513,0,0.275,0.368884673,0.0736
0.00607,0.462,0.41,0,0.124,0.534005183,0.113
0.00683,0.518,0.806,0.00462,0.662,0.531668494,0.065
0.239,0.348,0.47,0.0192,0.435,0.212667398,0.689
0.491,0.595,0.568,0,0.383,0.363357111,0.157
0.141,0.773,0.341,5.42E-06,0.613,0.404300492,0.1
0.0106,0.685,0.924,0.341,0.751,0.529820498,0.167
0.769,0.328,0.0631,6.61E-06,0.156,0.346162533,0.139
0.0482,0.447,0.609,0.755,0.255,0.49038426,0.269
0.412,0.482,0.473,5.07E-06,0.66,0.331000752,0.0798
0.289,0.498,0.535,0,0.345,0.63950523,0.405
0.464,0.414,0.379,0,0.883,0.686132226,0.383
0.65,0.516,0.526,0.000576,0.768,0.708024821,0.0943
0.00638,0.58,0.943,0.065,0.561,0.514584796,0.105
0.0141,0.586,0.917,7.02E-06,0.892,0.496507287,0.536
0.0325,0.639,0.38,3.78E-05,0.231,0.400941246,0.0519
0.289,0.773,0.264,0.000761,0.707,0.506502893,0.13
0.978,0.139,0.0676,0.717,0.0376,0.358437334,0.0399
0.215,0.719,0.423,0,0.967,0.410415306,0.0658
0.685,0.26,0.0913,0.8,0.0336,0.590241759,0.0828
0.0605,0.922,0.61,0,0.872,0.385763038,0.0942
0.503,0.681,0.69,0.000282,0.494,0.426846045,0.962
2.71E-05,0.239,0.94,0.00408,0.148,0.502256609,0.302
0.555,0.802,0.68,1.75E-06,0.879,0.492729162,0.113
0.135,0.637,0.934,2.27E-05,0.519,0.513406185,0.266
0.38,0.598,0.882,0.000139,0.862,0.552842423,0.444
0.538,0.233,0.316,0.000385,0.169,0.28194672,0.0816
0.0663,0.412,0.511,0,0.505,0.661566197,0.377
4.18E-05,0.708,0.604,0.639,0.632,0.492388309,0.0489
0.327,0.533,0.615,0.000592,0.904,0.709815324,0.218
0.000968,0.606,0.89,3.37E-06,0.945,0.572057477,0.136
0.179,0.763,0.505,0.00107,0.96,0.433794511,0.0497
0.0731,0.724,0.566,0,0.665,0.362231887,0.168
0.765,0.529,0.295,0.0193,0.623,0.646626175,0.268
0.472,0.369,0.326,9.97E-06,0.763,0.856053419,0.15
0.0507,0.363,0.186,0.571,0.0754,0.36212922,0.25
0.0904,0.374,0.85,0,0.348,0.516601165,0.116
0.00224,0.804,0.842,1.33E-05,0.426,0.479012924,0.27
0.298,0.632,0.453,1.76E-06,0.86,0.63632257,0.101
0.443,0.441,0.387,0,0.554,0.312882176,0.268
0.114,0.6,0.551,0,0.776,0.340544625,0.217
0.22,0.686,0.58,7.39E-05,0.6,0.378268387,0.0536
0.902,0.26,0.32,0.0254,0.126,0.326454681,0.133
0.86,0.0823,0.0507,0.918,0.0575,0.699782758,0.1
0.0271,0.8,0.48,0,0.647,0.380013716,0.061
0.876,0.537,0.37,0.00839,0.709,0.752951661,0.0706
0.966,0.359,0.106,0.871,0.158,0.359316159,0.0985
0.00495,0.605,0.857,0.254,0.554,0.480840387,0.111
0.008,0.559,0.83,4.50E-06,0.622,0.388029913,0.0675
0.293,0.708,0.517,1.03E-06,0.816,0.582188602,0.465
0.0658,0.507,0.988,0.006,0.482,0.413733486,0.333
0.88,0.498,0.276,0.00327,0.145,0.339164788,0.699
0.00445,0.286,0.837,0.0859,0.315,0.438225595,0.116
