0.836,0.481,0.941
0.65,0.876,0.959
0.344,0.854,0.544
0.531,0.362,0.928
0.715,0.738,0.571
0.535,0.797,0.868
0.514,0.793,0.703
0.571,0.45,0.588
0.824,0.347,0.585
0.562,0.799,0.425
0.122,0.725,0.199
0.583,0.457,0.84
0.329,0.741,0.243
0.746,0.562,0.203
0.818,0.487,0.642
0.623,0.85,0.883
0.798,0.561,0.785
0.831,0.522,0.854
0.843,0.837,0.774
0.753,0.558,0.753
0.352,0.19,0.331
0.571,0.32,0.345
0.655,0.406,0.536
0.246,0.388,0.0966
0.306,0.806,0.225
0.565,0.228,0.111
0.738,0.594,0.566
0.65,0.784,0.895
0.37,0.637,0.407
0.532,0.212,0.62
0.532,0.401,0.279
0.261,0.886,0.504
0.475,0.381,0.352
0.232,0.955,0.829
0.423,0.926,0.712
0.209,0.225,0.125
0.482,0.115,0.237
0.55,0.589,0.953
0.405,0.249,0.0344
0.42,0.582,0.26
0.55,0.851,0.926
0.709,0.549,0.662
0.608,0.0602,0.41
0.472,0.72,0.384
0.333,0.98,0.224
0.471,0.896,0.555
0.598,0.51,0.596
0.666,0.681,0.899
0.176,0.341,0.05
0.776,0.575,0.34
0.423,0.756,0.791
0.528,0.41,0.392
0.583,0.868,0.866
0.354,0.494,0.183
0.471,0.387,0.348
0.445,0.286,0.304
0.578,0.631,0.484
0.81,0.792,0.965
0.623,0.207,0.919
0.653,0.51,0.373
0.169,0.506,0.375
0.69,0.289,0.889
0.463,0.865,0.747
0.487,0.0348,0.143
0.429,0.256,0.322
0.382,0.72,0.556
0.703,0.793,0.321
0.421,0.207,0.43
0.921,0.849,0.98
0.509,0.431,0.178
0.624,0.696,0.654
0.646,0.309,0.867
0.637,0.399,0.148
0.246,0.157,0.0763
0.695,0.798,0.842
0.486,0.911,0.362
0.587,0.172,0.411
0.807,0.598,0.588
0.767,0.732,0.696
0.199,0.0991,0.0587
0.833,0.661,0.858
0.449,0.768,0.614
0.707,0.42,0.598
0.4,0.531,0.851
0.36,0.974,0.304
0.508,0.368,0.254
0.741,0.672,0.811
0.509,0.565,0.354
0.517,0.971,0.277
0.579,0.444,0.354
0.383,0.733,0.864
0.69,0.888,0.686
0.601,0.48,0.965
0.669,0.806,0.799
0.542,0.148,0.248
0.803,0.557,0.777
0.673,0.644,0.9
0.836,0.594,0.572
0.882,0.481,0.965
0.331,0.244,0.336
0.346,0.278,0.276
0.56,0.359,0.253
0.618,0.516,0.983
0.728,0.497,0.944
0.5,0.228,0.376
0.359,0.6,0.55
0.468,0.929,0.751
0.495,0.516,0.126
0.538,0.134,0.691
0.355,0.605,0.42
0.72,0.658,0.727
0.639,0.59,0.798
0.473,0.619,0.698
0.429,0.726,0.717
0.313,0.0421,0.631
0.369,0.98,0.707
0.78,0.674,0.622
0.593,0.139,0.178
0.536,0.991,0.831
0.891,0.634,0.507
0.7,0.485,0.962
0.55,0.964,0.935
0.255,0.364,0.251
0.676,0.469,0.885
0.407,0.375,0.96
0.387,0.74,0.816
0.706,0.505,0.503
0.793,0.419,0.964
0.369,0.839,0.719
0.475,0.91,0.583
0.365,0.94,0.466
0.865,0.579,0.654
0.87,0.563,0.537
0.625,0.511,0.733
0.787,0.427,0.508
0.491,0.971,0.6
0.837,0.459,0.694
0.39,0.141,0.292
0.826,0.299,0.694
0.721,0.865,0.415
0.624,0.579,0.786
0.869,0.803,0.965
0.34,0.7,0.727
0.631,0.933,0.842
0.499,0.95,0.836
0.397,0.991,0.0535
0.471,0.497,0.349
0.202,0.441,0.176
0.388,0.108,0.112
0.538,0.405,0.212
0.801,0.454,0.919
0.522,0.319,0.153
0.895,0.541,0.366
0.251,0.0768,0.0696
0.832,0.651,0.943
0.362,0.161,0.303
0.83,0.966,0.213
0.712,0.769,0.483
0.491,0.269,0.442
0.578,0.444,0.25
0.572,0.52,0.818
0.274,0.144,0.309
0.629,0.55,0.968
0.291,0.759,0.651
0.5,0.544,0.204
0.274,0.82,0.286
0.273,0.944,0.498
0.507,0.611,0.518
0.738,0.575,0.778
0.594,0.412,0.5
0.449,0.828,0.623
0.623,0.498,0.928
0.725,0.585,0.667
0.627,0.849,0.521
0.568,0.438,0.475
0.749,0.572,0.831
0.391,0.977,0.54
0.199,0.00834,0.0411
0.658,0.96,0.961
0.336,0.413,0.358
0.537,0.519,0.58
0.675,0.773,0.54
0.519,0.976,0.242
0.382,0.338,0.53
0.639,0.598,0.72
0.308,0.108,0.035
0.626,0.111,0.558
0.77,0.403,0.448
0.625,0.831,0.901
0.663,0.673,0.816
0.892,0.514,0.698
0.465,0.161,0.387
0.644,0.583,0.936
0.708,0.814,0.64
0.705,0.421,0.569
0.398,0.396,0.248
0.601,0.831,0.942
0.516,0.545,0.315
0.652,0.831,0.93
0.762,0.679,0.923
0.455,0.327,0.324
0.622,0.571,0.446
0.8,0.552,0.883
0.526,0.381,0.299
0.706,0.818,0.947
0.824,0.794,0.383
0.424,0.923,0.742
0.214,0.923,0.751
0.655,0.521,0.645
0.372,0.729,0.301
0.586,0.583,0.64
0.464,0.334,0.161
0.424,0.871,0.797
0.256,0.746,0.107
0.454,0.945,0.851
0.757,0.84,0.944
0.49,0.361,0.577
0.281,0.911,0.343
0.625,0.678,0.958
0.733,0.858,0.665
0.456,0.142,0.419
0.666,0.583,0.803
0.564,0.354,0.668
0.726,0.71,0.458
0.491,0.442,0.352
0.66,0.0602,0.404
0.608,0.379,0.866
0.559,0.491,0.2
0.262,0.929,0.357
0.541,0.467,0.464
0.51,0.66,0.792
0.329,0.00695,0.238
0.757,0.413,0.803
0.368,0.199,0.144
0.626,0.547,0.49
0.726,0.444,0.898
0.673,0.54,0.569
0.699,0.721,0.604
0.561,0.167,0.243
0.495,0.728,0.454
0.301,0.183,0.413
0.737,0.429,0.849
0.862,0.488,0.78
0.823,0.539,0.84
0.505,0.265,0.563
0.59,0.669,0.444
0.562,0.63,0.402
0.736,0.623,0.378
0.568,0.00859,0.204
0.732,0.44,0.825
0.721,0.684,0.581
0.733,0.891,0.631
0.532,0.599,0.341
0.536,0.961,0.632
0.489,0.756,0.562
0.574,0.199,0.361
0.591,0.37,0.972
0.829,0.332,0.448
0.504,0.791,0.595
0.796,0.692,0.618
0.769,0.904,0.402
0.487,0.929,0.379
0.798,0.728,0.593
0.17,0.738,0.352
0.372,0.163,0.222
0.221,0.23,0.256
0.894,0.597,0.469
0.752,0.681,0.713
0.712,0.616,0.698
0.552,0.87,0.873
0.729,0.816,0.962
0.388,0.114,0.272
0.578,0.382,0.629
0.507,0.214,0.422
0.488,0.578,0.419
0.594,0.0626,0.247
0.598,0.64,0.626
0.499,0.564,0.659
0.556,0.764,0.597
0.685,0.696,0.785
0.175,0.344,0.242
0.346,0.279,0.46
0.783,0.683,0.644
0.317,0.0528,0.165
0.674,0.737,0.385
0.748,0.472,0.59
0.319,0.337,0.212
0.527,0.616,0.459
0.569,0.411,0.318
0.558,0.591,0.67
0.514,0.774,0.752
0.368,0.45,0.184
0.732,0.56,0.759
0.672,0.518,0.309
0.393,0.949,0.384
0.833,0.486,0.928
0.767,0.463,0.563
0.313,0.853,0.173
0.758,0.942,0.377
0.541,0.594,0.934
0.734,0.365,0.574
0.578,0.652,0.818
0.3,0.83,0.247
0.687,0.867,0.733
0.673,0.607,0.844
0.747,0.56,0.864
0.699,0.7,0.619
0.665,0.734,0.385
0.73,0.654,0.693
0.425,0.958,0.258
0.444,0.204,0.169
0.552,0.251,0.389
0.533,0.143,0.437
0.293,0.146,0.23
0.566,0.549,0.696
0.605,0.633,0.887
0.219,0.112,0.117
0.482,0.99,0.449
0.505,0.789,0.709
0.237,0.476,0.391
0.784,0.382,0.882
0.855,0.287,0.432
0.417,0.623,0.353
0.808,0.715,0.825
0.492,0.963,0.523
0.576,0.444,0.572
0.525,0.433,0.462
0.408,0.841,0.221
0.353,0.357,0.235
0.261,0.982,0.292
0.674,0.252,0.334
0.707,0.763,0.768
0.0734,0.273,0.0385
0.618,0.443,0.8
0.39,0.467,0.148
0.572,0.416,0.257
0.692,0.255,0.703
0.777,0.545,0.77
0.484,0.779,0.584
0.937,0.673,0.715
0.476,0.396,0.199
0.804,0.768,0.961
0.322,0.295,0.68
0.488,0.682,0.765
0.3,0.983,0.526
0.432,0.547,0.491
0.391,0.529,0.902
0.301,0.308,0.254
0.664,0.358,0.582
0.719,0.847,0.467
0.458,0.937,0.736
0.662,0.806,0.51
0.413,0.91,0.52
0.715,0.464,0.342
0.728,0.828,0.895
0.755,0.889,0.753
0.68,0.487,0.505
0.353,0.35,0.205
0.347,0.476,0.549
0.608,0.786,0.811
0.708,0.6,0.468
0.588,0.615,0.963
0.699,0.753,0.859
0.424,0.163,0.294
0.508,0.67,0.646
0.494,0.724,0.534
0.31,0.404,0.169
0.405,0.888,0.648
0.668,0.373,0.816
0.712,0.549,0.345
0.336,0.572,0.932
0.682,0.726,0.516
0.486,0.687,0.704
0.415,0.805,0.228
0.585,0.32,0.201
0.348,0.923,0.391
0.537,0.774,0.446
0.641,0.583,0.723
0.38,0.65,0.448
0.493,0.517,0.552
0.65,0.655,0.413
0.607,0.163,0.606
0.39,0.816,0.458
0.726,0.599,0.753
0.382,0.565,0.916
0.473,0.254,0.346
0.56,0.268,0.171
0.642,0.539,0.572
0.704,0.99,0.252
0.376,0.085,0.338
0.436,0.602,0.956
0.686,0.495,0.97
0.477,0.169,0.481
0.617,0.861,0.599
0.662,0.907,0.321
0.698,0.862,0.854
0.29,0.436,0.184
0.377,0.626,0.113
0.834,0.365,0.383
0.603,0.463,0.939
0.88,0.685,0.963
0.737,0.809,0.683
0.484,0.912,0.45
0.534,0.422,0.354
0.807,0.59,0.961
0.488,0.843,0.682
0.646,0.9,0.744
0.71,0.598,0.868
0.349,0.204,0.0394
0.179,0.291,0.0397
0.729,0.739,0.937
0.624,0.959,0.832
0.428,0.321,0.113
0.799,0.617,0.93
0.723,0.371,0.913
0.739,0.511,0.59
0.33,0.485,0.0899
0.73,0.526,0.765
0.698,0.679,0.912
0.671,0.354,0.151
0.549,0.467,0.467
0.699,0.718,0.902
0.763,0.513,0.86
0.451,0.523,0.511
0.649,0.883,0.787
0.866,0.476,0.631
0.805,0.615,0.77
0.537,0.694,0.426
0.506,0.888,0.442
0.827,0.64,0.533
0.579,0.705,0.53
0.683,0.53,0.969
0.415,0.509,0.292
0.484,0.473,0.897
0.584,0.823,0.323
0.627,0.768,0.802
0.536,0.977,0.419
0.581,0.62,0.41
0.858,0.795,0.706
0.416,0.666,0.518
0.721,0.779,0.611
0.644,0.749,0.585
0.501,0.723,0.637
0.403,0.945,0.638
0.724,0.934,0.857
0.613,0.213,0.466
0.356,0.851,0.644
0.344,0.403,0.072
0.4,0.777,0.156
0.571,0.801,0.802
0.872,0.543,0.371
0.455,0.445,0.513
0.676,0.307,0.163
0.465,0.378,0.418
0.481,0.78,0.558
0.886,0.847,0.443
0.117,0.983,0.102
0.877,0.576,0.878
0.216,0.0222,0.0428
0.851,0.954,0.86
0.313,0.396,0.493
0.677,0.824,0.483
0.868,0.77,0.963
0.892,0.708,0.965
0.453,0.443,0.466
0.155,0.462,0.214
0.458,0.348,0.914
0.383,0.121,0.0949
0.768,0.886,0.962
0.418,0.966,0.601
0.731,0.476,0.803
0.439,0.182,0.303
0.286,0.696,0.233
0.502,0.647,0.93
0.687,0.589,0.686
0.669,0.728,0.944
0.698,0.834,0.865
0.749,0.814,0.853
0.589,0.816,0.739
0.65,0.442,0.52
0.727,0.488,0.721
0.692,0.861,0.821
0.846,0.463,0.985
0.459,0.741,0.736
0.518,0.965,0.428
0.688,0.689,0.543
0.713,0.745,0.537
0.308,0.0631,0.0738
0.734,0.648,0.729
0.674,0.546,0.63
0.637,0.425,0.911
0.45,0.324,0.136
0.549,0.226,0.52
0.132,0.302,0.0368
0.519,0.299,0.397
0.318,0.765,0.788
0.512,0.452,0.226
0.851,0.727,0.649
0.672,0.416,0.914
0.376,0.349,0.139
0.536,0.49,0.309
0.744,0.385,0.83
0.415,0.223,0.33
0.561,0.273,0.305
0.469,0.902,0.525
0.571,0.682,0.82
0.689,0.797,0.808
0.77,0.573,0.533
0.196,0.899,0.374
0.586,0.485,0.351
0.56,0.951,0.0702
0.63,0.77,0.599
0.722,0.543,0.462
0.762,0.327,0.788
0.686,0.419,0.306
0.804,0.697,0.495
0.494,0.911,0.547
0.507,0.569,0.305
0.561,0.622,0.14
0.48,0.68,0.851
0.181,0.293,0.155
0.874,0.592,0.963
0.737,0.62,0.487
0.798,0.762,0.864
0.258,0.585,0.442
0.597,0.48,0.194
0.799,0.543,0.692
0.707,0.81,0.625
0.446,0.995,0.248
0.78,0.915,0.63
0.888,0.519,0.963
0.394,0.315,0.262
0.106,0.284,0.0783
0.34,0.321,0.405
0.459,0.841,0.741
0.355,0.261,0.966
0.617,0.938,0.965
0.269,0.0586,0.0622
0.646,0.784,0.547
0.201,0.0803,0.135
0.637,0.922,0.847
0.745,0.552,0.908
0.371,0.217,0.397
0.654,0.747,0.391
0.246,0.0543,0.456
0.556,0.902,0.566
0.204,0.155,0.191
0.669,0.604,0.8
0.515,0.713,0.744
0.828,0.749,0.769
0.447,0.382,0.253
0.647,0.291,0.388
0.116,0.289,0.136
0.671,0.918,0.494
0.339,0.97,0.753
0.892,0.63,0.536
0.628,0.868,0.283
0.499,0.492,0.434
0.769,0.659,0.447
0.677,0.467,0.855
0.595,0.352,0.139
0.281,0.354,0.32
0.515,0.957,0.684
0.486,0.499,0.307
0.452,0.452,0.103
0.738,0.337,0.67
0.517,0.468,0.306
0.405,0.0508,0.332
0.632,0.618,0.639
0.491,0.897,0.783
0.778,0.584,0.918
0.883,0.659,0.966
0.78,0.588,0.908
0.173,0.0154,0.0734
0.411,0.131,0.161
0.508,0.719,0.689
0.242,0.927,0.452
0.335,0.0567,0.349
0.493,0.311,0.772
0.576,0.544,0.246
0.783,0.706,0.96
0.71,0.757,0.962
0.519,0.318,0.966
0.702,0.626,0.371
0.0786,0.0277,0.0365
0.549,0.367,0.493
0.283,0.174,0.117
0.648,0.402,0.532
0.642,0.539,0.694
0.559,0.202,0.0395
0.471,0.184,0.482
0.771,0.892,0.696
0.412,0.957,0.355
0.479,0.52,0.875
0.608,0.165,0.562
0.668,0.942,0.966
0.649,0.793,0.366
0.452,0.304,0.0979
0.615,0.386,0.474
0.312,0.0141,0.0636
0.561,0.632,0.368
0.463,0.855,0.473
0.688,0.808,0.883
0.368,0.981,0.281
0.584,0.447,0.506
0.837,0.537,0.632
0.546,0.503,0.839
0.555,0.341,0.184
0.454,0.879,0.727
0.599,0.693,0.419
0.336,0.983,0.293
0.241,0.0534,0.128
0.723,0.546,0.748
0.521,0.263,0.239
0.481,0.284,0.528
0.447,0.675,0.277
0.413,0.313,0.046
0.364,0.991,0.502
0.492,0.234,0.183
0.405,0.753,0.391
0.678,0.521,0.479
0.268,0.979,0.197
0.536,0.582,0.491
0.307,0.272,0.193
0.721,0.596,0.434
0.197,0.953,0.251
0.712,0.406,0.734
0.784,0.862,0.627
0.551,0.541,0.589
0.548,0.184,0.382
0.467,0.749,0.582
0.518,0.509,0.65
0.657,0.721,0.778
0.877,0.62,0.836
0.879,0.402,0.78
0.701,0.824,0.711
0.783,0.388,0.946
0.674,0.813,0.601
0.231,0.391,0.0669
0.782,0.363,0.27
0.207,0.977,0.661
0.645,0.599,0.961
0.611,0.55,0.622
0.421,0.0576,0.0706
0.378,0.448,0.223
0.682,0.638,0.975
0.642,0.778,0.607
0.355,0.907,0.219
0.637,0.74,0.85
0.484,0.435,0.635
0.442,0.146,0.2
0.695,0.724,0.961
0.777,0.459,0.589
0.711,0.482,0.21
0.378,0.0159,0.0399
0.217,0.978,0.606
0.745,0.389,0.778
0.395,0.152,0.166
0.676,0.591,0.777
0.335,0.396,0.132
0.663,0.676,0.527
0.363,0.789,0.256
0.789,0.753,0.81
0.441,0.941,0.525
0.708,0.615,0.469
0.825,0.96,0.821
0.62,0.696,0.868
0.468,0.697,0.447
0.34,0.93,0.128
0.283,0.333,0.0916
0.202,0.853,0.37
0.552,0.308,0.383
0.526,0.248,0.673
0.633,0.476,0.958
0.313,0.0277,0.0399
0.583,0.726,0.429
0.332,0.742,0.451
0.721,0.496,0.844
0.846,0.721,0.252
0.717,0.186,0.213
0.742,0.559,0.495
0.245,0.385,0.039
0.421,0.61,0.713
0.659,0.431,0.459
0.59,0.561,0.676
0.251,0.164,0.0676
0.458,0.395,0.124
0.227,0.157,0.127
0.427,0.826,0.961
0.545,0.659,0.825
0.337,0.86,0.129
0.442,0.761,0.252
0.864,0.543,0.728
0.661,0.899,0.98
0.547,0.94,0.493
0.561,0.355,0.187
0.365,0.279,0.141
0.225,0.0319,0.314
0.717,0.829,0.729
0.381,0.634,0.241
0.503,0.619,0.442
0.533,0.00877,0.109
0.653,0.243,0.793
0.86,0.646,0.711
0.654,0.27,0.361
0.745,0.558,0.577
0.812,0.495,0.957
0.369,0.352,0.126
0.355,0.501,0.125
0.37,0.481,0.379
0.686,0.358,0.612
0.536,0.64,0.289
0.468,0.332,0.139
0.14,0.0867,0.0631
0.307,0.0515,0.154
0.473,0.824,0.923
0.617,0.905,0.769
0.354,0.00237,0.0738
0.17,0.206,0.0501
0.541,0.379,0.934
0.909,0.651,0.473
0.436,0.976,0.288
0.387,0.995,0.0553
0.793,0.88,0.891
0.314,0.0172,0.0685
0.761,0.728,0.597
0.405,0.596,0.454
0.788,0.698,0.693
0.682,0.522,0.733
0.637,0.0193,0.139
0.31,0.912,0.155
0.705,0.437,0.372
0.754,0.487,0.604
0.698,0.39,0.632
0.693,0.201,0.679
0.543,0.964,0.777
0.505,0.821,0.842
0.681,0.879,0.558
0.628,0.135,0.773
0.557,0.153,0.339
0.106,0.53,0.368
0.219,0.461,0.0794
0.525,0.632,0.549
0.605,0.989,0.969
0.528,0.835,0.563
0.549,0.679,0.486
0.434,0.881,0.207
0.303,0.806,0.246
0.763,0.701,0.591
0.67,0.606,0.808
0.615,0.526,0.383
0.571,0.801,0.859
0.77,0.827,0.746
0.372,0.96,0.433
0.725,0.311,0.463
0.669,0.462,0.648
0.777,0.676,0.272
0.49,0.598,0.252
0.191,0.535,0.176
0.85,0.519,0.961
0.447,0.792,0.35
0.507,0.802,0.769
0.641,0.462,0.317
0.537,0.415,0.843
0.221,0.104,0.0364
0.736,0.832,0.847
0.38,0.996,0.0328
0.554,0.109,0.253
0.652,0.968,0.731
0.88,0.458,0.92
0.496,0.865,0.629
0.543,0.922,0.769
0.693,0.822,0.441
0.765,0.673,0.56
0.568,0.54,0.716
0.688,0.627,0.679
0.478,0.963,0.16
0.661,0.144,0.465
0.443,0.74,0.453
0.897,0.644,0.972
0.463,0.285,0.702
0.338,0.103,0.04
0.657,0.522,0.955
0.844,0.688,0.726
0.659,0.866,0.765
0.823,0.744,0.798
0.593,0.663,0.456
0.251,0.467,0.0685
0.547,0.764,0.722
0.524,0.133,0.259
0.489,0.275,0.173
0.535,0.839,0.779
0.289,0.918,0.366
0.667,0.833,0.752
0.673,0.804,0.961
0.497,0.435,0.178
0.188,0.949,0.538
0.649,0.671,0.339
0.796,0.819,0.823
0.591,0.703,0.672
0.797,0.636,0.967
0.25,0.0304,0.213
0.766,0.408,0.444
0.693,0.938,0.913
0.584,0.486,0.238
0.218,0.706,0.177
0.579,0.746,0.767
0.27,0.909,0.333
0.714,0.852,0.919
0.304,0.236,0.213
0.531,0.863,0.756
0.799,0.91,0.966
0.393,0.765,0.274
0.887,0.451,0.304
0.599,0.269,0.511
0.667,0.287,0.241
0.386,0.988,0.386
0.698,0.555,0.696
0.466,0.575,0.373
0.301,0.699,0.0501
0.622,0.517,0.597
0.324,0.151,0.293
0.733,0.634,0.692
0.498,0.971,0.542
0.433,0.961,0.502
0.718,0.85,0.721
0.809,0.482,0.909
0.679,0.875,0.488
0.906,0.607,0.542
0.425,0.525,0.577
0.571,0.666,0.485
0.525,0.138,0.267
0.673,0.728,0.918
0.705,0.704,0.506
0.832,0.635,0.61
0.719,0.407,0.806
0.706,0.396,0.719
0.834,0.592,0.974
0.627,0.786,0.841
0.572,0.55,0.938
0.446,0.101,0.0511
0.325,0.768,0.454
0.464,0.5,0.359
0.681,0.716,0.543
0.213,0.988,0.0572
0.612,0.491,0.586
0.273,0.0335,0.0945
0.675,0.787,0.752
0.659,0.539,0.947
0.523,0.448,0.574
0.68,0.801,0.925
0.173,0.338,0.223
0.487,0.912,0.601
0.795,0.821,0.782
0.515,0.477,0.962
0.327,0.882,0.389
0.462,0.848,0.545
0.395,0.00978,0.158
0.439,0.981,0.219
0.555,0.886,0.526
0.673,0.742,0.968
0.405,0.779,0.484
0.743,0.678,0.809
0.805,0.556,0.724
0.349,0.277,0.16
0.515,0.323,0.288
0.288,0.175,0.116
0.429,0.617,0.28
0.59,0.886,0.567
0.499,0.721,0.843
0.484,0.811,0.415
0.529,0.49,0.193
0.224,0.351,0.172
0.596,0.253,0.825
0.819,0.84,0.827
0.615,0.503,0.224
0.486,0.205,0.428
0.506,0.764,0.209
0.607,0.69,0.392
0.271,0.946,0.32
0.646,0.74,0.57
0.673,0.905,0.853
0.612,0.501,0.175
0.504,0.315,0.83
0.828,0.769,0.73
0.669,0.351,0.547
0.958,0.651,0.546
0.465,0.399,0.681
0.702,0.552,0.906
0.481,0.843,0.423
0.554,0.875,0.821
0.633,0.635,0.326
0.702,0.676,0.778
0.725,0.545,0.528
0.26,0.943,0.191
0.486,0.17,0.227
0.0974,0.14,0.0846
0.431,0.2,0.309
0.539,0.37,0.846
0.831,0.708,0.864
0.679,0.789,0.971
0.735,0.741,0.826
0.349,0.925,0.282
0.427,0.762,0.76
0.555,0.228,0.474
0.69,0.808,0.678
0.871,0.656,0.657
0.564,0.714,0.446
0.653,0.509,0.417
0.583,0.501,0.729
0.576,0.276,0.867
0.279,0.618,0.218
0.796,0.39,0.474
0.502,0.12,0.432
0.361,0.751,0.335
0.804,0.368,0.712
0.277,0.185,0.394
0.498,0.165,0.553
0.699,0.62,0.51
0.152,0.264,0.0643
0.128,0.375,0.0435
0.455,0.919,0.457
0.561,0.763,0.78
0.287,0.242,0.083
0.604,0.475,0.381
0.56,0.941,0.701
0.592,0.379,0.814
0.752,0.46,0.595
0.658,0.575,0.846
0.576,0.853,0.386
0.213,0.489,0.139
0.659,0.948,0.349
0.613,0.378,0.759
0.644,0.93,0.239
0.781,0.324,0.369
0.704,0.859,0.924
0.431,0.45,0.596
0.444,0.732,0.508
0.361,0.985,0.237
0.845,0.43,0.653
0.155,0.947,0.27
0.379,0.364,0.402
0.472,0.342,0.386
0.779,0.818,0.75
0.663,0.508,0.75
0.615,0.929,0.54
0.457,0.651,0.908
0.33,0.317,0.326
0.38,0.388,0.835
0.845,0.528,0.521
0.623,0.898,0.786
0.442,0.913,0.243
0.749,0.647,0.863
0.592,0.896,0.518
0.523,0.955,0.675
0.361,0.0972,0.0702
0.634,0.617,0.26
0.4,0.996,0.0612
0.189,0.252,0.0881
0.482,0.908,0.506
0.594,0.832,0.874
0.758,0.544,0.627
0.432,0.93,0.315
0.874,0.857,0.895
0.428,0.925,0.658
0.748,0.801,0.552
0.151,0.854,0.287
0.476,0.95,0.208
0.566,0.262,0.0783
0.508,0.366,0.575
0.724,0.852,0.708
0.461,0.35,0.287
0.73,0.691,0.813
0.779,0.78,0.886
0.728,0.731,0.577
0.616,0.676,0.819
0.374,0.179,0.104
0.294,0.998,0.18
0.719,0.261,0.453
0.79,0.869,0.827
0.668,0.261,0.282
0.637,0.568,0.749
0.814,0.767,0.336
0.75,0.467,0.61
0.776,0.602,0.852
0.739,0.701,0.594
0.551,0.199,0.185
0.743,0.894,0.77
0.623,0.874,0.59
0.746,0.697,0.452
0.696,0.192,0.284
0.587,0.88,0.778
0.687,0.523,0.811
0.734,0.496,0.88
0.301,0.833,0.761
0.645,0.499,0.89
0.958,0.265,0.385
0.226,0.526,0.281
0.545,0.865,0.494
0.436,0.95,0.808
0.331,0.931,0.535
0.665,0.523,0.102
0.903,0.638,0.612
0.485,0.316,0.0889
0.719,0.428,0.665
0.675,0.7,0.906
0.514,0.381,0.0631
0.6,0.91,0.557
0.708,0.758,0.543
0.771,0.745,0.599
0.617,0.225,0.0397
0.632,0.402,0.542
0.59,0.933,0.149
0.806,0.489,0.703
0.769,0.307,0.0914
0.771,0.844,0.376
0.635,0.62,0.92
0.532,0.685,0.194
0.808,0.959,0.848
0.878,0.594,0.916
0.556,0.975,0.511
0.449,0.682,0.472
0.407,0.258,0.194
0.767,0.671,0.921
0.759,0.398,0.154
0.378,0.947,0.348
0.791,0.788,0.963
0.73,0.333,0.806
0.726,0.374,0.385
0.264,0.936,0.351
0.533,0.369,0.602
0.852,0.75,0.934
0.133,0.164,0.178
0.636,0.253,0.0427
0.622,0.654,0.27
0.523,0.99,0.69
0.68,0.97,0.322
0.571,0.293,0.23
0.47,0.348,0.669
0.345,0.912,0.391
0.439,0.321,0.392
0.644,0.518,0.456
0.567,0.723,0.592
0.346,0.175,0.357
0.581,0.594,0.702
0.444,0.536,0.596
0.442,0.779,0.741
0.615,0.459,0.457
0.555,0.555,0.516
0.699,0.491,0.578
0.521,0.701,0.0691
0.722,0.838,0.523
0.569,0.446,0.767
0.757,0.584,0.639
0.753,0.938,0.471
0.803,0.384,0.55
0.267,0.898,0.532
0.505,0.505,0.622
0.936,0.736,0.377
0.419,0.834,0.089
0.55,0.555,0.625
0.418,0.426,0.366
0.658,0.631,0.711
0.524,0.919,0.848
0.369,0.852,0.538
0.725,0.733,0.843
0.347,0.35,0.349
0.258,0.946,0.636
0.371,0.806,0.645
0.67,0.576,0.509
0.533,0.524,0.462
0.477,0.929,0.364
0.594,0.526,0.817
0.199,0.0673,0.0575
0.803,0.538,0.546
0.505,0.828,0.31
0.44,0.829,0.651
0.102,0.614,0.0379
0.418,0.352,0.643
0.383,0.261,0.35
0.39,0.574,0.6
0.51,0.448,0.286
0.657,0.847,0.835
0.593,0.459,0.207
0.752,0.774,0.109
0.539,0.74,0.726
0.284,0.634,0.377
0.808,0.982,0.961
0.272,0.872,0.419
0.607,0.753,0.703
0.706,0.815,0.106
0.868,0.798,0.769
0.786,0.71,0.877
0.597,0.945,0.939
0.654,0.35,0.544
0.606,0.951,0.67
0.38,0.477,0.357
0.446,0.385,0.526
0.36,0.598,0.112
0.469,0.926,0.56
0.782,0.909,0.599
0.628,0.488,0.491
0.289,0.792,0.547
0.718,0.657,0.624
0.51,0.706,0.495
0.582,0.893,0.805
0.365,0.48,0.404
0.458,0.878,0.348
0.378,0.71,0.427
0.353,0.872,0.355
0.408,0.697,0.642
0.852,0.942,0.797
0.35,0.634,0.357
0.53,0.77,0.43
0.634,0.76,0.554
0.611,0.78,0.474
0.584,0.441,0.768
0.587,0.813,0.712
0,0.689,0
0.78,0.679,0.757
0.449,0.234,0.346
0.619,0.76,0.784
0.517,0.612,0.529
0.81,0.38,0.722
0.335,0.868,0.288
0.827,0.806,0.528
0.236,0.772,0.441
0.601,0.89,0.688
0.794,0.93,0.339
0.692,0.905,0.642
0.522,0.415,0.352
0.643,0.975,0.865
0.483,0.688,0.362
0.899,0.388,0.69
0.579,0.163,0.364
0.253,0.811,0.486
0.821,0.892,0.426
0.435,0.374,0.481
0.778,0.922,0.205
0.489,0.941,0.877
0.479,0.594,0.718
0.573,0.787,0.464
0.576,0.482,0.781
0.503,0.816,0.625
0.494,0.425,0.41
0.359,0.0955,0.229
0.483,0.573,0.172
0.399,0.262,0.646
0.43,0.878,0.435
0.418,0.986,0.602
0.785,0.921,0.155
0.594,0.881,0.234
0.171,0.942,0.352
0.734,0.544,0.669
0.777,0.966,0.118
0.683,0.71,0.931
0.487,0.587,0.841
0.575,0.843,0.858
